,access_right,communities,conference_acronym,conference_dates,conference_place,conference_title,conference_url,contributors,creators,description,doi,keywords,license,notes,prereserve_doi,publication_date,publication_type,references,title,upload_type,conceptdoi,files,xml_id,format
"0,open,""[{'identifier': 'dhd'}, {'identifier': 'zenodo'}]"",DHd 2018,26.02.2018 - 02.03.2018,Köln,""DHd 2018 Kritik der digitalen Vernunft. 5. Tagung des Verbands """"Digital Humanities im deutschsprachigen Raum"""""",https://dhd2018.uni-koeln.de/,""[{'affiliation': 'Zentrum für Informationsmodellierung - Austrian Centre for Digital Humanities, Universität Graz', 'name': 'Vogeler, Georg', 'type': 'Editor'}, {'affiliation': 'Digital Humanities im deutschsprachigen Raum e.V.', 'name': 'Helling, Patrick', 'type': 'Editor'}]"",""[{'affiliation': 'BBAW, Deutschland', 'name': 'Althof, Daniel'}]"",A single abstract from the DHd-2018 Book of Abstracts.,10.5281/zenodo.4622289,""['DHd2018', 'Hermeneutik', 'Code', 'Grundlagenreflexion']"",CC-BY-4.0,""Sofern eine editorische Arbeit an dieser Publikation stattgefunden hat, dann bestand diese aus der Eliminierung von Bindestrichen in Überschriften, die aufgrund fehlerhafter Silbentrennung entstanden sind, der Vereinheitlichung von Namen der Autor*innen in das Schema """"Nachname, Vorname"""" und/oder der Trennung von Überschrift und Unterüberschrift durch die Setzung eines Punktes, sofern notwendig."",""{'doi': '10.5281/zenodo.4622289', 'recid': 4622289}"",2018-02-26,conferencepaper,['https://doi.org/10.5281/zenodo.3684897'],Neue Wahlverwandtschaften,publication,10.5281/zenodo.4622288,""['ALTHOF_Daniel__Neue_Wahlverwandtschaften.pdf', 'ALTHOF_Daniel__Neue_Wahlverwandtschaften.xml']"",ALTHOF_Daniel__Neue_Wahlverwandtschaften,Vortrag"
"1,open,""[{'identifier': 'dhd'}, {'identifier': 'zenodo'}]"",DHd 2018,26.02.2018 - 02.03.2018,Köln,""DHd 2018 Kritik der digitalen Vernunft. 5. Tagung des Verbands """"Digital Humanities im deutschsprachigen Raum"""""",https://dhd2018.uni-koeln.de/,""[{'affiliation': 'Zentrum für Informationsmodellierung - Austrian Centre for Digital Humanities, Universität Graz', 'name': 'Vogeler, Georg', 'type': 'Editor'}, {'affiliation': 'Digital Humanities im deutschsprachigen Raum e.V.', 'name': 'Helling, Patrick', 'type': 'Editor'}]"",""[{'affiliation': 'ACDH, Österreich', 'name': 'Andorfer, Peter'}, {'affiliation': 'Österreichische Nationalbibliothek', 'name': 'Karner, Stefan'}]"",A single abstract from the DHd-2018 Book of Abstracts.,10.5281/zenodo.4622291,""['DHd2018', 'Georeferenzierung', 'TEI']"",CC-BY-4.0,""Sofern eine editorische Arbeit an dieser Publikation stattgefunden hat, dann bestand diese aus der Eliminierung von Bindestrichen in Überschriften, die aufgrund fehlerhafter Silbentrennung entstanden sind, der Vereinheitlichung von Namen der Autor*innen in das Schema """"Nachname, Vorname"""" und/oder der Trennung von Überschrift und Unterüberschrift durch die Setzung eines Punktes, sofern notwendig."",""{'doi': '10.5281/zenodo.4622291', 'recid': 4622291}"",2018-02-26,conferencepaper,['https://doi.org/10.5281/zenodo.3684897'],TEIHencer - Enhance your TEI-Documents,publication,10.5281/zenodo.4622290,""['ANDORFER_Peter_TEIHencer___Enhance_your_TEI_Documents.pdf', 'ANDORFER_Peter_TEIHencer___Enhance_your_TEI_Documents.xml']"",ANDORFER_Peter_TEIHencer___Enhance_your_TEI_Documents,Poster"
"2,open,""[{'identifier': 'dhd'}, {'identifier': 'zenodo'}]"",DHd 2018,26.02.2018 - 02.03.2018,Köln,""DHd 2018 Kritik der digitalen Vernunft. 5. Tagung des Verbands """"Digital Humanities im deutschsprachigen Raum"""""",https://dhd2018.uni-koeln.de/,""[{'affiliation': 'Zentrum für Informationsmodellierung - Austrian Centre for Digital Humanities, Universität Graz', 'name': 'Vogeler, Georg', 'type': 'Editor'}, {'affiliation': 'Digital Humanities im deutschsprachigen Raum e.V.', 'name': 'Helling, Patrick', 'type': 'Editor'}]"",""[{'affiliation': 'Universität Hamburg, Deutschland', 'name': 'Andresen, Melanie'}]"",A single abstract from the DHd-2018 Book of Abstracts.,10.5281/zenodo.4622293,""['DHd2018', 'Stil', 'n-Gramm-Analyse', 'Wissenschaftssprache', 'Germanistik', 'Dependenzannotation']"",CC-BY-4.0,""Sofern eine editorische Arbeit an dieser Publikation stattgefunden hat, dann bestand diese aus der Eliminierung von Bindestrichen in Überschriften, die aufgrund fehlerhafter Silbentrennung entstanden sind, der Vereinheitlichung von Namen der Autor*innen in das Schema """"Nachname, Vorname"""" und/oder der Trennung von Überschrift und Unterüberschrift durch die Setzung eines Punktes, sofern notwendig."",""{'doi': '10.5281/zenodo.4622293', 'recid': 4622293}"",2018-02-26,conferencepaper,['https://doi.org/10.5281/zenodo.3684897'],Sprachliche Variation in der Germanistik: eine n-Gramm-basierte Stilanalyse,publication,10.5281/zenodo.4622292,""['ANDRESEN_Melanie_Sprachliche_Variation_in_der_Germanistik__e.pdf', 'ANDRESEN_Melanie_Sprachliche_Variation_in_der_Germanistik__e.xml']"",ANDRESEN_Melanie_Sprachliche_Variation_in_der_Germanistik__e,Vortrag"
"3,open,""[{'identifier': 'dhd'}, {'identifier': 'zenodo'}]"",DHd 2018,26.02.2018 - 02.03.2018,Köln,""DHd 2018 Kritik der digitalen Vernunft. 5. Tagung des Verbands """"Digital Humanities im deutschsprachigen Raum"""""",https://dhd2018.uni-koeln.de/,""[{'affiliation': 'Zentrum für Informationsmodellierung - Austrian Centre for Digital Humanities, Universität Graz', 'name': 'Vogeler, Georg', 'type': 'Editor'}, {'affiliation': 'Digital Humanities im deutschsprachigen Raum e.V.', 'name': 'Helling, Patrick', 'type': 'Editor'}]"",""[{'affiliation': 'Bayerische Akademie der Wissenschaften, Deutschland', 'name': 'Arnold, Eckhart'}]"",A single abstract from the DHd-2018 Book of Abstracts.,10.5281/zenodo.4622295,""['DHd2018', 'Positivistischer Methodenfetischismus', 'Wissenschaftliche Relevanz', 'Kritik digitaler Methoden']"",CC-BY-4.0,""Sofern eine editorische Arbeit an dieser Publikation stattgefunden hat, dann bestand diese aus der Eliminierung von Bindestrichen in Überschriften, die aufgrund fehlerhafter Silbentrennung entstanden sind, der Vereinheitlichung von Namen der Autor*innen in das Schema """"Nachname, Vorname"""" und/oder der Trennung von Überschrift und Unterüberschrift durch die Setzung eines Punktes, sofern notwendig."",""{'doi': '10.5281/zenodo.4622295', 'recid': 4622295}"",2018-02-26,conferencepaper,['https://doi.org/10.5281/zenodo.3684897'],Positivistischer Methodenfetischismus als Anathema der digitalen Geisteswissenschaften,publication,10.5281/zenodo.4622294,""['ARNOLD_Eckhart_Positivistischer_Methodenfetischismus_als_Ana.pdf', 'ARNOLD_Eckhart_Positivistischer_Methodenfetischismus_als_Ana.xml']"",ARNOLD_Eckhart_Positivistischer_Methodenfetischismus_als_Ana,Vortrag"
"4,open,""[{'identifier': 'dhd'}, {'identifier': 'zenodo'}]"",DHd 2018,26.02.2018 - 02.03.2018,Köln,""DHd 2018 Kritik der digitalen Vernunft. 5. Tagung des Verbands """"Digital Humanities im deutschsprachigen Raum"""""",https://dhd2018.uni-koeln.de/,""[{'affiliation': 'Zentrum für Informationsmodellierung - Austrian Centre for Digital Humanities, Universität Graz', 'name': 'Vogeler, Georg', 'type': 'Editor'}, {'affiliation': 'Digital Humanities im deutschsprachigen Raum e.V.', 'name': 'Helling, Patrick', 'type': 'Editor'}]"",""[{'affiliation': 'Institut für Europäische Geschichte, Deutschland', 'name': 'Aschauer, Anna'}, {'affiliation': 'Institut für Europäische Geschichte, Deutschland', 'name': 'Büchler, Marco'}, {'affiliation': 'Otto-Friedrich-Universität Bamberg', 'name': 'Gradl, Tobias'}, {'affiliation': 'Otto-Friedrich-Universität Bamberg', 'name': 'Henrich, Andreas'}]"",A single abstract from the DHd-2018 Book of Abstracts.,10.5281/zenodo.4622297,""['DHd2018', 'Biographische Daten', 'Gruppenbildung', 'Nachnutzbarkeit']"",CC-BY-4.0,""Sofern eine editorische Arbeit an dieser Publikation stattgefunden hat, dann bestand diese aus der Eliminierung von Bindestrichen in Überschriften, die aufgrund fehlerhafter Silbentrennung entstanden sind, der Vereinheitlichung von Namen der Autor*innen in das Schema """"Nachname, Vorname"""" und/oder der Trennung von Überschrift und Unterüberschrift durch die Setzung eines Punktes, sofern notwendig."",""{'doi': '10.5281/zenodo.4622297', 'recid': 4622297}"",2018-02-26,conferencepaper,['https://doi.org/10.5281/zenodo.3684897'],Reisewege in Raum und Zeit,publication,10.5281/zenodo.4622296,""['ASCHAUER_Anna_Reisewege_in_Raum_und_Zeit.pdf', 'ASCHAUER_Anna_Reisewege_in_Raum_und_Zeit.xml']"",ASCHAUER_Anna_Reisewege_in_Raum_und_Zeit,Workshop"
"5,open,""[{'identifier': 'dhd'}, {'identifier': 'zenodo'}]"",DHd 2018,26.02.2018 - 02.03.2018,Köln,""DHd 2018 Kritik der digitalen Vernunft. 5. Tagung des Verbands """"Digital Humanities im deutschsprachigen Raum"""""",https://dhd2018.uni-koeln.de/,""[{'affiliation': 'Zentrum für Informationsmodellierung - Austrian Centre for Digital Humanities, Universität Graz', 'name': 'Vogeler, Georg', 'type': 'Editor'}, {'affiliation': 'Digital Humanities im deutschsprachigen Raum e.V.', 'name': 'Helling, Patrick', 'type': 'Editor'}]"",""[{'affiliation': 'Universität zu Köln, Deutschland', 'name': 'Barabucci, Gioele'}]"",A single abstract from the DHd-2018 Book of Abstracts.,10.5281/zenodo.4622300,""['DHd2018', 'Pipelines', 'XML', 'Reproduzierbarkeit', 'Datenkuration']"",CC-BY-4.0,""Sofern eine editorische Arbeit an dieser Publikation stattgefunden hat, dann bestand diese aus der Eliminierung von Bindestrichen in Überschriften, die aufgrund fehlerhafter Silbentrennung entstanden sind, der Vereinheitlichung von Namen der Autor*innen in das Schema """"Nachname, Vorname"""" und/oder der Trennung von Überschrift und Unterüberschrift durch die Setzung eines Punktes, sofern notwendig."",""{'doi': '10.5281/zenodo.4622300', 'recid': 4622300}"",2018-02-26,conferencepaper,['https://doi.org/10.5281/zenodo.3684897'],""Funktionale und deklarative Programmierung-basierte Methode für nachhaltige, reproduzierbare und verifizierbare Datenkuration."",publication,10.5281/zenodo.4622299,""['BARABUCCI_Gioele__Funktionale_und_deklarative_Programmierung.pdf', 'BARABUCCI_Gioele__Funktionale_und_deklarative_Programmierung.xml']"",BARABUCCI_Gioele__Funktionale_und_deklarative_Programmierung,Vortrag"
"6,open,""[{'identifier': 'dhd'}, {'identifier': 'zenodo'}]"",DHd 2018,26.02.2018 - 02.03.2018,Köln,""DHd 2018 Kritik der digitalen Vernunft. 5. Tagung des Verbands """"Digital Humanities im deutschsprachigen Raum"""""",https://dhd2018.uni-koeln.de/,""[{'affiliation': 'Zentrum für Informationsmodellierung - Austrian Centre for Digital Humanities, Universität Graz', 'name': 'Vogeler, Georg', 'type': 'Editor'}, {'affiliation': 'Digital Humanities im deutschsprachigen Raum e.V.', 'name': 'Helling, Patrick', 'type': 'Editor'}]"",""[{'affiliation': 'Universität Stuttgart, Deutschland', 'name': 'Barzen, Johanna'}, {'affiliation': 'Universität zu Köln, Deutschland', 'name': 'Blumtritt, Jonathan'}, {'affiliation': 'Universität Stuttgart, Deutschland', 'name': 'Breitenbücher, Uwe'}, {'affiliation': 'Universität zu Köln, Deutschland', 'name': 'Kronenwett, Simone'}, {'affiliation': 'Universität Stuttgart, Deutschland', 'name': 'Leymann, Frank'}, {'affiliation': 'Universität zu Köln, Deutschland', 'name': 'Mathiak, Brigitte'}, {'affiliation': 'Universität zu Köln, Deutschland', 'name': 'Neuefeind, Claes'}]"",A single abstract from the DHd-2018 Book of Abstracts.,10.5281/zenodo.4622302,""['DHd2018', 'Forschungssoftware', 'Archivierung', 'Lebende Systeme']"",CC-BY-4.0,""Sofern eine editorische Arbeit an dieser Publikation stattgefunden hat, dann bestand diese aus der Eliminierung von Bindestrichen in Überschriften, die aufgrund fehlerhafter Silbentrennung entstanden sind, der Vereinheitlichung von Namen der Autor*innen in das Schema """"Nachname, Vorname"""" und/oder der Trennung von Überschrift und Unterüberschrift durch die Setzung eines Punktes, sofern notwendig."",""{'doi': '10.5281/zenodo.4622302', 'recid': 4622302}"",2018-02-26,conferencepaper,['https://doi.org/10.5281/zenodo.3684897'],""SustainLife - Erhalt lebender, digitaler Systeme für die Geisteswissenschaften"",publication,10.5281/zenodo.4622301,""['BARZEN_Johanna_SustainLife___Erhalt_lebender__digitaler_Syst.pdf', 'BARZEN_Johanna_SustainLife___Erhalt_lebender__digitaler_Syst.xml']"",BARZEN_Johanna_SustainLife___Erhalt_lebender__digitaler_Syst,Poster"
"7,open,""[{'identifier': 'dhd'}, {'identifier': 'zenodo'}]"",DHd 2018,26.02.2018 - 02.03.2018,Köln,""DHd 2018 Kritik der digitalen Vernunft. 5. Tagung des Verbands """"Digital Humanities im deutschsprachigen Raum"""""",https://dhd2018.uni-koeln.de/,""[{'affiliation': 'Zentrum für Informationsmodellierung - Austrian Centre for Digital Humanities, Universität Graz', 'name': 'Vogeler, Georg', 'type': 'Editor'}, {'affiliation': 'Digital Humanities im deutschsprachigen Raum e.V.', 'name': 'Helling, Patrick', 'type': 'Editor'}]"",""[{'affiliation': 'Institut für Maschinelle Sprachverarbeitung, Universität Stuttgart, Deutschland', 'name': 'Beck, Jens'}, {'affiliation': 'Institut für Literaturwissenschaft, Universität Stuttgart, Deutschland', 'name': 'Willand, Marcus'}, {'affiliation': 'Institut für Maschinelle Sprachverarbeitung, Universität Stuttgart, Deutschland', 'name': 'Reiter, Nils'}]"",A single abstract from the DHd-2018 Book of Abstracts.,10.5281/zenodo.4622304,""['DHd2018', 'Soziale Medien', 'Rezeption von Literatur', 'Assoziationen']"",CC-BY-4.0,""Sofern eine editorische Arbeit an dieser Publikation stattgefunden hat, dann bestand diese aus der Eliminierung von Bindestrichen in Überschriften, die aufgrund fehlerhafter Silbentrennung entstanden sind, der Vereinheitlichung von Namen der Autor*innen in das Schema """"Nachname, Vorname"""" und/oder der Trennung von Überschrift und Unterüberschrift durch die Setzung eines Punktes, sofern notwendig."",""{'doi': '10.5281/zenodo.4622304', 'recid': 4622304}"",2018-02-26,conferencepaper,['https://doi.org/10.5281/zenodo.3684897'],Was Lesende denken: Assoziationen zu Büchern in Sozialen Medien,publication,10.5281/zenodo.4622303,""['BECK_Jens_Was_Lesende_denken__Assoziationen_zu_B�chern_in_So.pdf', 'BECK_Jens_Was_Lesende_denken__Assoziationen_zu_B�chern_in_So.xml']"",BECK_Jens_Was_Lesende_denken__Assoziationen_zu_B�chern_in_So,Vortrag"
"8,open,""[{'identifier': 'dhd'}, {'identifier': 'zenodo'}]"",DHd 2018,26.02.2018 - 02.03.2018,Köln,""DHd 2018 Kritik der digitalen Vernunft. 5. Tagung des Verbands """"Digital Humanities im deutschsprachigen Raum"""""",https://dhd2018.uni-koeln.de/,""[{'affiliation': 'Zentrum für Informationsmodellierung - Austrian Centre for Digital Humanities, Universität Graz', 'name': 'Vogeler, Georg', 'type': 'Editor'}, {'affiliation': 'Digital Humanities im deutschsprachigen Raum e.V.', 'name': 'Helling, Patrick', 'type': 'Editor'}]"",""[{'affiliation': 'Universität zu Köln, Deutschland', 'name': 'Bigalke, Ben'}, {'affiliation': 'Universität zu Köln, Deutschland', 'name': 'Drach, Sviatoslav'}, {'affiliation': 'Universität Würzburg, Deutschland', 'name': 'Henny-Krahmer, Ulrike'}, {'affiliation': 'Neue Universität Lissabon, Portugal', 'name': 'Sepúlveda, Pedro'}, {'affiliation': 'Universität zu Köln, Deutschland', 'name': 'Theisen, Christian'}]"",A single abstract from the DHd-2018 Book of Abstracts.,10.5281/zenodo.4622306,""['DHd2018', 'Fernando Pessoa', 'Netzwerk', 'Visualisierung', 'D3', 'TEI']"",CC-BY-4.0,""Sofern eine editorische Arbeit an dieser Publikation stattgefunden hat, dann bestand diese aus der Eliminierung von Bindestrichen in Überschriften, die aufgrund fehlerhafter Silbentrennung entstanden sind, der Vereinheitlichung von Namen der Autor*innen in das Schema """"Nachname, Vorname"""" und/oder der Trennung von Überschrift und Unterüberschrift durch die Setzung eines Punktes, sofern notwendig."",""{'doi': '10.5281/zenodo.4622306', 'recid': 4622306}"",2018-02-26,conferencepaper,['https://doi.org/10.5281/zenodo.3684897'],Personen- und Figurennetzwerke in Fernando Pessoas Publikationsplänen,publication,10.5281/zenodo.4622305,""['BIGALKE_Ben_Personen__und_Figurennetzwerke_in_Fernando_Pesso.pdf', 'BIGALKE_Ben_Personen__und_Figurennetzwerke_in_Fernando_Pesso.xml']"",BIGALKE_Ben_Personen__und_Figurennetzwerke_in_Fernando_Pesso,Poster"
"9,open,""[{'identifier': 'dhd'}, {'identifier': 'zenodo'}]"",DHd 2018,26.02.2018 - 02.03.2018,Köln,""DHd 2018 Kritik der digitalen Vernunft. 5. Tagung des Verbands """"Digital Humanities im deutschsprachigen Raum"""""",https://dhd2018.uni-koeln.de/,""[{'affiliation': 'Zentrum für Informationsmodellierung - Austrian Centre for Digital Humanities, Universität Graz', 'name': 'Vogeler, Georg', 'type': 'Editor'}, {'affiliation': 'Digital Humanities im deutschsprachigen Raum e.V.', 'name': 'Helling, Patrick', 'type': 'Editor'}]"",""[{'affiliation': 'Bach-Archiv Leipzig, Deutschland', 'name': 'Blanken, Christine'}, {'affiliation': 'Sächsische Akademie der Wissenschaften zu Leipzig, Projekt Bach-Repertorium', 'name': 'Rettinghaus, Klaus'}]"",A single abstract from the DHd-2018 Book of Abstracts.,10.5281/zenodo.4622310,""['DHd2018', 'Musikwissenschaften', 'Bach-Forschung', 'Datenbank', 'Common Science', 'Vernetzung']"",CC-BY-4.0,""Sofern eine editorische Arbeit an dieser Publikation stattgefunden hat, dann bestand diese aus der Eliminierung von Bindestrichen in Überschriften, die aufgrund fehlerhafter Silbentrennung entstanden sind, der Vereinheitlichung von Namen der Autor*innen in das Schema """"Nachname, Vorname"""" und/oder der Trennung von Überschrift und Unterüberschrift durch die Setzung eines Punktes, sofern notwendig."",""{'doi': '10.5281/zenodo.4622310', 'recid': 4622310}"",2018-02-26,conferencepaper,['https://doi.org/10.5281/zenodo.3684897'],Endstation Digital?! Herausforderung Metadaten und Nachhaltigkeit in musikwissenschaftlichen Datenbanken,publication,10.5281/zenodo.4622309,""['BLANKEN_Christine_Endstation_Digital___Herausforderung_Metad.pdf', 'BLANKEN_Christine_Endstation_Digital___Herausforderung_Metad.xml']"",BLANKEN_Christine_Endstation_Digital___Herausforderung_Metad,Vortrag"
